2023-03-07T08:27:59.576Z [AUDIT] Token created by 'jffe@000': tokenId='47a28045-18db-48ed-94db-b94ef146f3f7', issuer='jffe@000', subject='anonymous', expiry=1678178279576, refreshable=false
2023-03-07T08:27:59.761Z [AUDIT] Token created by 'jffe@000': tokenId='957a64d1-8e2b-47fd-8ae9-e2235bcd52c9', issuer='jffe@000', subject='anonymous', expiry=1678178279760, refreshable=false
2023-03-07T08:27:59.776Z [AUDIT] Token created by 'jffe@000': tokenId='5d6e8f4c-5bec-423f-a288-a68c2945bab6', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1678178279775, refreshable=false
2023-03-07T08:28:00.409Z [AUDIT] Token created by 'jffe@000': tokenId='f15d6355-5d79-4354-b536-a2ae62628c1d', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1678179480397, refreshable=true
2023-03-07T08:28:00.494Z [AUDIT] Token created by 'jffe@000': tokenId='401c0c44-3ae4-4901-a260-cde35ffb1ec6', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1678178280493, refreshable=false
2023-03-07T08:28:00.775Z [AUDIT] Token created by 'jffe@000': tokenId='a035f56b-5f41-46d1-bb5c-bf914ccf8911', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1678178280774, refreshable=false
2023-03-07T08:28:00.775Z [AUDIT] Token created by 'jffe@000': tokenId='c9e6a445-13e7-4dc1-824e-11babc5eee78', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1678178280774, refreshable=false
2023-03-07T08:28:00.775Z [AUDIT] Token created by 'jffe@000': tokenId='fad3ee77-a0f3-4e0d-a555-ae4b44a8924a', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1678178280775, refreshable=false
2023-03-07T08:28:01.007Z [AUDIT] Token created by 'jffe@000': tokenId='c495f061-75e4-4e2e-998a-a2646440d345', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1678178281007, refreshable=false
2023-03-07T08:28:34.476Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='4b5313e1-5c9f-442b-9cfc-af215a5560a1', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177834475, refreshable=false
2023-03-07T08:28:34.495Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='fdc6e918-e3b5-4673-a78c-6e528760070e', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177834494, refreshable=false
2023-03-07T08:29:34.475Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='306b6c14-e8e9-4ad6-a307-65bb8a0f1314', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177894475, refreshable=false
2023-03-07T08:29:34.490Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='86439d48-3d47-4444-a7d2-eac29aede1c7', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177894490, refreshable=false
2023-03-07T08:30:34.490Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='7eaecf90-f1e8-4011-bd7a-0fefd1a4520b', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177954489, refreshable=false
2023-03-07T08:30:34.505Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='f61b0311-d38a-4726-bb93-ab9a4e6f6c8e', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678177954505, refreshable=false
2023-03-07T08:31:34.475Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='10cc965a-b9bd-416c-8a92-ca8dc91f967c', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178014474, refreshable=false
2023-03-07T08:31:34.493Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='6bcb6b17-a28b-4f77-b454-6589efb81e28', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178014493, refreshable=false
2023-03-07T08:32:34.477Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='c1f83e1c-9d22-46b6-8251-bcb11af4be0a', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178074477, refreshable=false
2023-03-07T08:32:34.490Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='faef68fc-cb12-45ab-9304-77e19806055a', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178074490, refreshable=false
2023-03-07T08:33:34.475Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='8ced717f-3efa-4567-ad9b-d77bbbdb642a', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178134475, refreshable=false
2023-03-07T08:33:34.489Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='9122e3af-4fd7-46e3-854e-c5af897feeda', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178134489, refreshable=false
2023-03-07T08:34:23.659Z [AUDIT] Token created by 'jffe@000': tokenId='ee5eb8b6-60f0-40cb-bd95-bb94438083e7', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1678178663659, refreshable=false
2023-03-07T08:34:23.660Z [AUDIT] Token created by 'jffe@000': tokenId='94f51505-cf0a-4e9f-9278-1e37cf7abdca', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1678178663659, refreshable=false
2023-03-07T08:34:23.660Z [AUDIT] Token created by 'jffe@000': tokenId='f97f5764-5e4a-4308-b7f2-32203daa0826', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1678178663660, refreshable=false
2023-03-07T08:34:23.662Z [AUDIT] Token created by 'jffe@000': tokenId='dc957fa0-7fe8-43b1-ae3b-b1b402d968e3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1678178663662, refreshable=false
2023-03-07T08:34:34.475Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='7e22725a-8237-4c7e-af38-83d019288daf', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178194475, refreshable=false
2023-03-07T08:34:34.494Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='d2234d2d-7e95-412d-9867-709a693d6e2f', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178194493, refreshable=false
2023-03-07T08:35:34.480Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='7163f7cf-33fa-4c60-9890-850cda80a7ba', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178254480, refreshable=false
2023-03-07T08:35:34.494Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='a603e18c-2ab1-4f75-b556-49ada8848ca4', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178254494, refreshable=false
2023-03-07T08:36:34.486Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='040b98b7-2349-43e8-98d9-094a40701272', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178314485, refreshable=false
2023-03-07T08:36:34.502Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='d26a9bc2-ff82-45a6-a674-efbc10e68346', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178314501, refreshable=false
2023-03-07T08:37:34.476Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='a17e76e2-fb87-4a2f-bf0a-7cee0e99bbed', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178374475, refreshable=false
2023-03-07T08:37:34.492Z [AUDIT] Token created by 'jfob@01gsthmwbbqmed0tj72bw005ed': tokenId='6ac9cfcf-0be2-49da-8f08-6e63cc681828', issuer='jfob@01gsthmwbbqmed0tj72bw005ed', subject='jfob@01gsthmwbbqmed0tj72bw005ed', expiry=1678178374492, refreshable=false
